Team,MatchesPlayed,Wins,Draws,Losses,Goals,GoalsAgainst,GoalsPerGame,xG,xGA,xGD,xGD_per90,Possession
Paris SG,102,72,20,10,247,97,2.42,219.5,113.2,106.3,1.042,
Marseille,102,51,21,30,189,133,1.85,172.7,125.9,46.8,0.459,
Lens,102,51,20,31,153,111,1.5,163.4,125.2,38.1,0.374,
Lille,102,51,27,24,156,107,1.53,152.8,115.0,37.8,0.371,
Monaco,102,54,20,28,191,137,1.87,170.8,135.2,35.7,0.35,
Rennes,102,42,20,40,163,146,1.6,155.6,136.1,19.5,0.191,
Toulouse,102,34,28,40,133,135,1.3,135.8,120.6,15.2,0.149,
Lyon,102,51,17,34,167,141,1.64,160.6,146.3,14.3,0.14,
Nice,102,39,30,33,143,130,1.4,151.3,138.3,13.0,0.128,
Brest,102,42,24,36,148,148,1.45,140.1,135.8,4.3,0.043,
Paris FC,34,11,11,12,47,50,1.38,41.8,42.2,-0.3,-0.009,
Strasbourg,102,41,26,35,152,141,1.49,131.8,141.4,-9.6,-0.094,
Auxerre,68,19,19,30,82,95,1.21,84.0,103.5,-19.5,-0.287,
Lorient,68,18,20,30,91,117,1.34,84.3,107.0,-22.6,-0.333,
Reims,68,21,17,30,75,94,1.1,77.5,100.8,-23.3,-0.342,
Clermont,34,5,10,19,26,60,0.76,40.0,66.3,-26.4,-0.775,
St Etienne,34,8,6,20,39,77,1.15,37.5,66.6,-29.1,-0.857,
Montpellier,68,14,16,38,66,127,0.97,89.0,118.4,-29.4,-0.433,
Nantes,102,22,27,53,98,159,0.96,115.6,146.3,-30.7,-0.301,
Le Havre,102,24,29,49,106,160,1.04,111.6,149.4,-37.8,-0.371,
Metz,68,11,13,44,67,134,0.99,69.4,118.1,-48.7,-0.716,
Angers,68,19,15,34,61,101,0.9,64.5,118.1,-53.6,-0.789,
